pt_date,odr_balance
2021-06-30,0.0
2021-07-31,0.0016126380967079945
2021-08-31,0.005710209965372114
2021-09-30,0.011298492240746487
2021-10-31,0.016406490249528553
2021-11-30,0.022054473975366896
2021-12-31,0.028829062670759478
2022-01-31,0.0380821099791939
2022-02-28,0.04829658971240937
2022-03-31,0.05567672190522993
2022-04-30,0.06167926001736793
2022-05-31,0.07063171343450382
2022-06-30,0.07928500602913954
2022-07-31,0.08331319225526322
2022-08-31,0.09267471419616825
2022-09-30,0.09857498361368056
2022-10-31,0.07971253107600404
2022-11-30,0.08283452789342656
2022-12-31,0.08283168391262374
2023-01-31,0.08767274683176172
